,genes,gene_assoc_w_other_rxns?
GTHRDabcv,frozenset({<Gene PF3D7_0112200.1-p1 at 0x7f93133b32e8>}),no
GTHS_1,frozenset({<Gene PF3D7_0512200.1-p1 at 0x7f93133a6358>}),no
GUACn,"frozenset({<Gene PF3D7_1138400.1-p1 at 0x7f93133ba128>, <Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>})",yes
HDS,frozenset({<Gene PF3D7_1022800.1-p1 at 0x7f931334abe0>}),no
HEMELh,frozenset({<Gene PF3D7_1224600.1-p1 at 0x7f93133b3d68>}),no
HYDAh,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
ICDHyp,frozenset({<Gene PF3D7_1345700.1-p1 at 0x7f93133a6630>}),no
IDPh,"frozenset({<Gene PF3D7_0316300.2-p1 at 0x7f9313343cc0>, <Gene PF3D7_1456800.1-p1 at 0x7f93133b35c0>})",yes
K2L4Aabcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
K2L4Aabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
KAS14_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
LIPACabcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
LIPAabcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
LIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
LUMIRHODOPSINI,frozenset({<Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>}),no
MCOATA_1,frozenset({<Gene PF3D7_1312000.1-p1 at 0x7f93133b37b8>}),no
MCS,frozenset({<Gene PF3D7_0209300.1-p1 at 0x7f93133b3a20>}),no
METARHODOPSINH,frozenset({<Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>}),no
METDabcpp,"frozenset({<Gene PF3D7_1229100.1-p1 at 0x7f93133a6940>, <Gene PF3D7_1434000.1-p1 at 0x7f93133a6978>})",yes
METHFth,frozenset({<Gene PF3D7_1116500.1-p1 at 0x7f93133b3940>}),no
METabcpp,"frozenset({<Gene PF3D7_1229100.1-p1 at 0x7f93133a6940>, <Gene PF3D7_1434000.1-p1 at 0x7f93133a6978>})",yes
MG2uabcpp,"frozenset({<Gene PF3D7_1211900.1-p1 at 0x7f93133438d0>, <Gene PF3D7_0106300.1-p1 at 0x7f93133439e8>})",yes
MGDGD4DS1819Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGD4DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGD7DS1819Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>, <Gene PF3D7_0511200.1-p1 at 0x7f93133adc50>})",yes
MGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>, <Gene PF3D7_0511200.1-p1 at 0x7f93133adc50>})",yes
MGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1819Z1627Z10Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1617Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1619Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MGDGW6DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
MI1345PKn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x7f93133b30b8>}),no
MI1456PKn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x7f93133b30b8>}),no
MI145P6Kn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x7f93133b30b8>}),no
MI145PKn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x7f93133b30b8>}),no
MOBDabcpp,"frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>, <Gene PF3D7_1368200.1-p1 at 0x7f93133ad278>})",yes
NADS1n,frozenset({<Gene PF3D7_0926700.1-p1 at 0x7f93133b30f0>}),no
NI2uabcpp,"frozenset({<Gene PF3D7_1211900.1-p1 at 0x7f93133438d0>, <Gene PF3D7_0106300.1-p1 at 0x7f93133439e8>, <Gene PF3D7_1368200.1-p1 at 0x7f93133ad278>})",yes
NO2R,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
O16A4COLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
OHPHM6n,frozenset({<Gene PF3D7_1415800.1-p1 at 0x7f9313351898>}),no
ORDCh,frozenset({<Gene PF3D7_1033100.1-p1 at 0x7f93133ba390>}),no
OXFOt4pp,frozenset({<Gene PF3D7_0210300.1-p1 at 0x7f9313343940>}),no
OXOADLR,frozenset({<Gene PF3D7_1320800.1-p1 at 0x7f93133adcf8>}),no
PA120abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA140abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA141abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA160abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA161abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA180abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PA181abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PDHam1hi,"frozenset({<Gene PF3D7_1446400.1-p1 at 0x7f93133b3710>, <Gene PF3D7_1124500.1-p1 at 0x7f93133b36a0>})",yes
PDHam2hi,"frozenset({<Gene PF3D7_1446400.1-p1 at 0x7f93133b3710>, <Gene PF3D7_1124500.1-p1 at 0x7f93133b36a0>})",yes
PDHe2hr,frozenset({<Gene PF3D7_1020800.1-p1 at 0x7f9313343be0>}),no
PDHe3hr,frozenset({<Gene PF3D7_0815900.1-p1 at 0x7f93133a66d8>}),no
PE120abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PE140abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PE141abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PE160abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PE161abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PE180abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PE181abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PEPPIth,frozenset({<Gene PF3D7_0508300.1-p1 at 0x7f93133b3978>}),no
PFKh,frozenset({<Gene PF3D7_0915400.1-p1 at 0x7f93133a6ba8>}),no
PG120abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG140abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG141abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG160abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG161abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG180abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PG181abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PGD3TDS18111Z1613E,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PGD3TDS1819Z1613E,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PGD3TDS1829Z12Z1613E,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PGD3TDS1839Z12Z15Z1613E,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PGDHh,frozenset({<Gene PF3D7_1454700.1-p1 at 0x7f9313343c88>}),no
PGIAh,frozenset({<Gene PF3D7_1436000.1-p1 at 0x7f93133b3c50>}),no
PGIBh,frozenset({<Gene PF3D7_1436000.1-p1 at 0x7f93133b3c50>}),no
PGKh,frozenset({<Gene PF3D7_0922500.1-p1 at 0x7f93133ad780>}),no
PGLYCPh,frozenset({<Gene PF3D7_0715000.1-p1 at 0x7f93133a6470>}),no
PGLYCPx,frozenset({<Gene PF3D7_0715000.1-p1 at 0x7f93133a6470>}),no
PGP120abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PGP140abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PGP141abcpp,"frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>})",yes
PGP160abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PGP161abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PGP180abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PGP181abcpp,"frozenset({<Gene PF3D7_1447900.1-p1 at 0x7f93133ad128>, <Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>, <Gene PF3D7_1352100.1-p1 at 0x7f93133ad160>, <Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>, <Gene PF3D7_1145500.1-p1 at 0x7f93133a6dd8>})",yes
PGW3DS1839Z12Z15Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PGW6DS1829Z12Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
PHEMEabcpp,frozenset({<Gene PF3D7_1242200.1-p1 at 0x7f9313351198>}),no
PIN4Kn_SC,frozenset({<Gene PF3D7_0509800.1-p1 at 0x7f93133b3240>}),no
PINA1th,frozenset({<Gene PF3D7_1340900.1-p1 at 0x7f93133435c0>}),no
PIt2p,frozenset({<Gene PF3D7_1340900.1-p1 at 0x7f93133435c0>}),no
PIt2rpp,frozenset({<Gene PF3D7_1340900.1-p1 at 0x7f93133435c0>}),no
PItf,frozenset({<Gene PF3D7_1340900.1-p1 at 0x7f93133435c0>}),no
PIuabcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
PPA_1pp,frozenset({<Gene PF3D7_1456800.1-p1 at 0x7f93133b35c0>}),no
PPBNGD,frozenset({<Gene PF3D7_1209600.1-p1 at 0x7f931334a390>}),no
PPBNGS_1,frozenset({<Gene PF3D7_1440300.1-p1 at 0x7f93133a6c50>}),no
PS120abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS140abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS141abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS160abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS161abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS180abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PS181abcpp,frozenset({<Gene PF3D7_0523000.1-p1 at 0x7f93133ad198>}),no
PTRCabcpp,frozenset({<Gene PF3D7_1368200.1-p1 at 0x7f93133ad278>}),no
PYKf,frozenset({<Gene PF3D7_0626800.1-p1 at 0x7f93133ad438>}),no
PYRShi,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
RHODOPSINI,frozenset({<Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>}),no
RHODOPSINRT,frozenset({<Gene PF3D7_1360500.1-p1 at 0x7f93133ba1d0>}),no
RIBabcpp,"frozenset({<Gene PF3D7_0319700.1-p1 at 0x7f93133ad908>, <Gene PF3D7_1434000.1-p1 at 0x7f93133a6978>})",yes
RNDR1n,"frozenset({<Gene PF3D7_1405600.1-p1 at 0x7f93133ad828>, <Gene PF3D7_1437200.1-p1 at 0x7f93133ad860>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",yes
RNDR2n,"frozenset({<Gene PF3D7_1405600.1-p1 at 0x7f93133ad828>, <Gene PF3D7_1437200.1-p1 at 0x7f93133ad860>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",yes
RNDR3n,"frozenset({<Gene PF3D7_1405600.1-p1 at 0x7f93133ad828>, <Gene PF3D7_1437200.1-p1 at 0x7f93133ad860>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",yes
RNDR4n,"frozenset({<Gene PF3D7_1405600.1-p1 at 0x7f93133ad828>, <Gene PF3D7_1437200.1-p1 at 0x7f93133ad860>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",yes
RPIh,frozenset({<Gene PF3D7_0514600.1-p1 at 0x7f93133ad470>}),no
SALCHS4abcpp,frozenset({<Gene PF3D7_1339900.1-p1 at 0x7f93133ad240>}),no
SECYSTL,frozenset({<Gene PF3D7_0717700.1-p1 at 0x7f93133515f8>}),no
SELtpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
SERTRS2,frozenset({<Gene PF3D7_1216000.1-p1 at 0x7f93133bada0>}),no
SLNTtpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
SO3abcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
SQDGW3DS1839Z12Z15Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
SQDGW6DS1829Z12Z160,frozenset({<Gene PF3D7_1318100.1-p1 at 0x7f93133b3a90>}),no
SQLEr,frozenset({<Gene PF3D7_0923200.1-p1 at 0x7f93133adf98>}),no
SULabcpp,"frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>, <Gene PF3D7_1434000.1-p1 at 0x7f93133a6978>})",yes
TCHOLAabcv,frozenset({<Gene PF3D7_0112200.1-p1 at 0x7f93133b32e8>}),no
TDSRh,"frozenset({<Gene PF3D7_0923800.2-p1 at 0x7f93133a6550>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",yes
THD2pp,frozenset({<Gene PF3D7_1453500.1-p1 at 0x7f931334a4e0>}),no
THIORDXni,"frozenset({<Gene PF3D7_1027300.1-p1 at 0x7f9313351860>, <Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>})",no
THIORDXp,frozenset({<Gene PF3D7_1457200.1-p1 at 0x7f93133ad7f0>}),no
THMabcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
TKT1h,frozenset({<Gene PF3D7_0610800.1-p1 at 0x7f93133bae80>}),no
TKT2h,frozenset({<Gene PF3D7_0610800.1-p1 at 0x7f93133bae80>}),no
TPIh,frozenset({<Gene PF3D7_1439900.1-p1 at 0x7f93133ad7b8>}),no
TSULabcpp,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
TSULth,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
TUNGSabcpp,"frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>, <Gene PF3D7_1368200.1-p1 at 0x7f93133ad278>})",yes
UMPKn,frozenset({<Gene PF3D7_0111500.1-p1 at 0x7f93133ba198>}),no
UPPDC1_1,frozenset({<Gene PF3D7_0607300.1-p1 at 0x7f9313343710>}),no
UPPDC2_1,frozenset({<Gene PF3D7_0607300.1-p1 at 0x7f9313343710>}),no
UREAtpp,frozenset({<Gene PF3D7_1132800.1-p1 at 0x7f93133a60f0>}),no
URIDK2rn,frozenset({<Gene PF3D7_0111500.1-p1 at 0x7f93133ba198>}),no
VALTLh,"frozenset({<Gene PF3D7_1461900.1-p1 at 0x7f93133ad898>, <Gene PF3D7_1005000.1-p1 at 0x7f93133ad630>})",yes
ZHY,frozenset({<Gene PF3D7_1469600.1-p1 at 0x7f93133ade10>}),no
ZNabcpp,"frozenset({<Gene PF3D7_0319700.1-p1 at 0x7f93133ad908>, <Gene PF3D7_1121700.1-p1 at 0x7f93133ad8d0>})",yes
