,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
PgaboniSY75,DES_9,LIPOS,DXHPScm,DHORD2,ORNTArm,CITALOR,ADSHm,APAPTm,DMCITALOR,DOLASNT,HCGALm,CBFCc,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PmalariaeUG01,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,PLDAGAT_LNA_EPA_ARA_PE_11_c,PLDPC_STC_LNA_c,PCHOLP_cho,PLDAGAT_PALM_HDE_GLNA_PC_8_c,PLDAGAT_HDE_MYRS_LNA_PC_8_c,PLDAGAT_PALM_HDE_GLNA_PC_7_c,PLDAGAT_HDE_MYRS_LNA_PC_6_c,PLDAGAT_PALM_EPA_ARA_PE_11_c,PLDAGAT_MYRS_EPA_LNA_PC_8_c,PLDAGAT_HDE_EPA_LNA_PC_5_c,PLDAGAT_LNA_EPA_GLNA_PC_6_c,PLDAGAT_HDE_MYRS_PALM_PC_8_c,PLDAGAT_PALM_EPA_LNA_PC_7_c,MOTH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcuniculiEC1,THZPSN,DIPS,PLBPC_SC,FEDCabc,SHSL2,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PmalariaeUG01,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,THZPSN_mt2,THZPSNm,FAS260_ap,CPPPGO_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumSD01,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmajorLV39c5,THZPSN,DES_9,ACSERSULLm,LIPOS,PAPSR,HADPCOADH,APAPTm,ACSERLm,PAPSR2,THZSN,DES_6,DES_6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_SsalmonicidaATCC50377,THZPSN,DLYSOXGAT,ACSERSULL,AHSERL3,FEDCabc,SLCYSS,THZSN,ACSERL,DXHPScmc,FE3DCITabcppc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2014,THZPSN,FAS141ACPm,FAS181ACPm,DLYSOXGAT,DES_9,ACSERSULLm,LIPOS,FAS182ACPm,NALN6,FAS180ACPm,DES_15,ACSERLm,FAS161ACPm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumTG01,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,DAGAH_HDE_DHA_c,PLDAGAT_MYRS_HDE_PALM_PC_5_c,PLDAGAT_OLE_HDE_HDE_PC_5_c,PLDAGAT_PALM_EPA_LNA_PC_3_c,PLDAGAT_HDE_MYRS_PALM_PC_5_c,PLDAGAT_LNA_EPA_GLNA_PC_3_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmonterogeiiLV88,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,THZSN,NPPDO,DES_6,DES_6B,DOLASNT,ACPSm,ACPS,NEU22nhs,DOGULNO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ChominisTU502,THZPSN,PSERDm_SC,HKNTDH,DXHPScm,HYDFDi,ADSHm,THZSN,DOLASNT,DAGAH_EPA_DHA_c,PLDPE_EPA_OLE_c,ALPATE160pp_1,PLDAGAT_EPA_EPA_DHA_PC_5_c,HDL_HSDEGnhs,HMR_4777,PLDAGAT_EPA_EPA_LNA_PE_10_c,PLDAGAT_HDE_HDE_LNA_PE_10_c,AMY2e,PLA2PC_STC_EPA_c,PLA2PA_EPA_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziTCC,THZPSN,FAS141ACPm,FAS181ACPm,DES_9,ACSERSULLm,LIPOS,FAS182ACPm,S2FE2ST,FAS180ACPm,DES_15,APAPTm,ACSERLm,FAS161ACPm,DOLASNT,PLDAGAT_OLE_EPA_EPA_PE_9_c,PLDAGAT_HDE_HDE_LNA_PC_3_c,DAGAH_DHA_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmajorFriedlin,THZPSN,DES_9,ACSERSULLm,LIPOS,PAPSR,HADPCOADH,APAPTm,ACSERLm,PAPSR2,THZSN,DES_6,DES_6B,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrener,ACCOAL,GCC2bim,GCCbim,PI3P5K_SC,FE3abc,CA2abc1,ATPS,GLYCLm,PI4P5K_SC,FE2abc,ATPS1,NIabc,TCHOLABCtc,CAATPS_1,TCHOLAt3,CAATPS,RE2912M,FACOAL_160_m,MG2abc,GTHRDt,CA2abc,r1530,CYSabc,VALTRSm,GM1LIPAabcppc,PGP161abcppc,PG161abcppc,GM2LIPAabcppc,PGP180abcppc,PA120abcppc,PGP160abcppc,K2L4Aabcppc,PA180abcppc,PGP181abcppc,PA181abcppc,PS181abcppc,LIPAabcppc,PE120abcppc,PA141abcppc,PE180abcppc,PS120abcppc,PE181abcppc,PS160abcppc,PA140abcppc,PA160abcppc,PG141abcppc,PG180abcppc,PS141abcppc,PS161abcppc,PGP140abcppc,PE140abcppc,CHLDA1tuc,PE160abcppc,PS140abcppc,CHLDA2tuc,PG160abcppc,PE161abcppc,PA161abcppc,PS180abcppc,PGP120abcppc,PG120abcppc,PGP141abcppc,PG140abcppc,PG181abcppc,LIPACabcppc,PE141abcppc,COLIPAabcppc,generic_biomass,CHSTEROLt,,,,,,,,,,,,,,,
no_ortho_NcaninumLIV,THZPSN,PSERDm_SC,DES_9,ACSERSULLm,LIPOS,CPPPGOAN2,NOS,NOS2_1,ACSERLm,CPPPGO2,ALASm,DOLASNT,CGS_m,PLDAGAT_EPA_EPA_DHA_PC_8_c,PLDAGAT_HDE_HDE_LNA_PC_5_c,PLDAGAT_HDE_ARA_ARA_PC_7_c,PLDAGAT_OLE_EPA_DHA_PC_8_c,PLDAGAT_HDE_HDE_LNA_PC_7_c,PLA2PC_PALM_DHA_c,PLDPE_EPA_HDE_c,PLA2PC_EPA_ARA_c,PLDAGAT_HDE_EPA_OLE_PE_15_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
