,genes,gene_assoc_w_other_rxns?
FACOAL141t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL160p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL160t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL161p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL161t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL180t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL181t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL60t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FACOAL80p,frozenset({<Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>}),no
FACOAL80t2pp,"frozenset({<Gene PfDd2_020018000-t41_1-p1 at 0x2b5575e4f630>, <Gene PfDd2_130077500-t41_1-p1 at 0x2b5575e11668>, <Gene PfDd2_030006000-t41_1-p1 at 0x2b5575e4f5f8>, <Gene PfDd2_120043600-t41_1-p1 at 0x2b5575e4f588>, <Gene PfDd2_050030000-t41_1-p1 at 0x2b5575e2e9b0>, <Gene PfDd2_040006900-t41_1-p1 at 0x2b5575e4f5c0>, <Gene PfDd2_020017700-t41_1-p1 at 0x2b5575e3e7f0>})",yes
FBA3hi,frozenset({<Gene PfDd2_140049200-t41_1-p1 at 0x2b5575e747f0>}),no
FBAf,frozenset({<Gene PfDd2_140049200-t41_1-p1 at 0x2b5575e747f0>}),no
FBAh,frozenset({<Gene PfDd2_140049200-t41_1-p1 at 0x2b5575e747f0>}),no
FE2Gabcpp,frozenset({<Gene PfDd2_070025900-t41_1-p1 at 0x2b5575e3e240>}),no
FE3Gabcpp,frozenset({<Gene PfDd2_070025900-t41_1-p1 at 0x2b5575e3e240>}),no
FE3abch,frozenset({<Gene PfDd2_050027600-t41_1-p1 at 0x2b5575e74748>}),no
FEENTER2tpp,frozenset({<Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>}),no
FNORh,"frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>, <Gene PfDd2_060027900-t41_1-p1 at 0x2b5575e848d0>})",yes
FORt2pp,frozenset({<Gene PfDd2_030021600-t41_1-p1 at 0x2b5575e3e550>}),no
FORthi,frozenset({<Gene PfDd2_030021600-t41_1-p1 at 0x2b5575e3e550>}),no
FORtppi,frozenset({<Gene PfDd2_030021600-t41_1-p1 at 0x2b5575e3e550>}),no
FPGPL,frozenset({<Gene PfDd2_140049200-t41_1-p1 at 0x2b5575e747f0>}),no
FPPSh,frozenset({<Gene PfDd2_110031600-t41_1-p1 at 0x2b5575e61cc0>}),no
G3PAT160h,frozenset({<Gene PfDd2_130024100-t41_1-p1 at 0x2b5575e61710>}),no
G3PAT180h,frozenset({<Gene PfDd2_130024100-t41_1-p1 at 0x2b5575e61710>}),no
G3PAT1819Zh,frozenset({<Gene PfDd2_130024100-t41_1-p1 at 0x2b5575e61710>}),no
G3PAT181h,frozenset({<Gene PfDd2_130024100-t41_1-p1 at 0x2b5575e61710>}),no
G3PD1,"frozenset({<Gene PfDd2_030011400-t41_1-p1 at 0x2b5575e3ef98>, <Gene PfDd2_110017800-t41_1-p1 at 0x2b5575e4f4a8>})",yes
G3PO,frozenset({<Gene PfDd2_030011400-t41_1-p1 at 0x2b5575e3ef98>}),no
G6PIh,frozenset({<Gene PfDd2_140040400-t41_1-p1 at 0x2b5575e3e940>}),no
GALabcpp,frozenset({<Gene PfDd2_140038400-t41_1-p1 at 0x2b5575e1d6a0>}),no
GALt2pp,frozenset({<Gene PfDd2_020007600-t41_1-p1 at 0x2b5575e61d68>}),no
GCPNn,"frozenset({<Gene PfDd2_130027500-t41_1-p1 at 0x2b5575e61a20>, <Gene PfDd2_130027400-t41_1-p1 at 0x2b5575e61a58>})",yes
GLCt2pp,frozenset({<Gene PfDd2_020007600-t41_1-p1 at 0x2b5575e61d68>}),no
GLNTRAT,"frozenset({<Gene PfDd2_040021300-t41_1-p1 at 0x2b5575e2e898>, <Gene PfDd2_060033500-t41_1-p1 at 0x2b5575e614e0>})",yes
GLUKAh,frozenset({<Gene PfDd2_060028700-t41_1-p1 at 0x2b5575e3e978>}),no
GLUKBh,frozenset({<Gene PfDd2_060028700-t41_1-p1 at 0x2b5575e3e978>}),no
GLUS,frozenset({<Gene PfDd2_140039700-t41_1-p1 at 0x2b5575e11f60>}),no
GLUS_ferr,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
GLUS_nadph,frozenset({<Gene PfDd2_140039700-t41_1-p1 at 0x2b5575e11f60>}),no
GLUTRS_Gln,frozenset({<Gene PfDd2_130063100-t41_1-p1 at 0x2b5575e11eb8>}),no
GLYALDtpp,frozenset({<Gene PfDd2_110036100-t41_1-p1 at 0x2b5575e11da0>}),no
GLYCtpp,"frozenset({<Gene PfDd2_110036100-t41_1-p1 at 0x2b5575e11da0>, <Gene spontaneous at 0x2b5575e4f668>})",yes
