reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
GLYCDy,glyc_c + nadp_c --> dha_c + h_c + nadph_c,['EBH_0023410-t26_1-p1'],1000.0,0.0
MCITSm,h2o_m + oaa_m + ppcoa_m --> 2mcit_m + coa_m + h_m,['EBH_0053420-t26_1-p1'],1000.0,0.0
MDHm,mal__L_m + nad_m --> h_m + nadh_m + oaa_m,['EBH_0041770-t26_1-p1'],1000.0,0.0
NAPRT,h_c + nac_c + prpp_c --> nicrnt_c + ppi_c,['EBH_0081760-t26_1-p1'],1000.0,0.0
PDE5,35ccmp_c + h2o_c --> cmp_c + h_c,['EBH_0041590-t26_1-p1'],1000.0,0.0
PI35BP5P_SC,h2o_c + 0.01 ptd135bp_SC_c --> pi_c + 0.01 ptd3ino_SC_c,"['EBH_0058270-t26_1-p1', 'EBH_0078260-t26_1-p1']",1000.0,0.0
PIN3K_SC,atp_c + 0.01 ptd1ino_SC_c --> adp_c + h_c + 0.01 ptd3ino_SC_c,"['EBH_0019140-t26_1-p1', 'EBH_0024390-t26_1-p1']",1000.0,0.0
SUCFUMtm,fum_m + succ_c --> fum_c + succ_m,['EBH_0017310-t26_1-p1'],1000.0,0.0
SUCOASm,atp_m + coa_m + succ_m --> adp_m + pi_m + succoa_m,"['EBH_0074020-t26_1-p1', 'EBH_0034650-t26_1-p1']",1000.0,0.0
THFGLUS,atp_c + glu__L_c + thf_c --> adp_c + h_c + pi_c + thfglu_c,['EBH_0004060-t26_1-p1'],1000.0,0.0
TMDPK,atp_c + thm_c --> amp_c + h_c + thmpp_c,['EBH_0026330-t26_1-p1'],1000.0,0.0
TMDPPK,atp_c + thmpp_c --> adp_c + thmtp_c,['EBH_0026330-t26_1-p1'],1000.0,0.0
VALTRSm,atp_m + trnaval_m + val__L_m --> amp_m + ppi_m + valtrna_m,['EBH_0071890-t26_1-p1'],1000.0,0.0
ZYMSTt,zymst_e --> zymst_c,['EBH_0078900-t26_1-p1'],1000.0,0.0
4M2OPLOXRD,4mop_c + h_c + lpam_c --> 3mbdhl_c + co2_c,"['EBH_0047620-t26_1-p1', 'EBH_0080460-t26_1-p1']",1000.0,0.0
CRNabc,atp_c + crn_e + h2o_c --> adp_c + crn_c + h_c + pi_c,['EBH_0006240-t26_1-p1'],1000.0,0.0
KAS1,14.0 h_c + ibcoa_c + 5.0 malcoa_c + 10.0 nadph_c --> 5.0 co2_c + 6.0 coa_c + fa1_c + 4.0 h2o_c + 10.0 nadp_c,"['EBH_0085870-t26_1-p1', 'EBH_0017680-t26_1-p1']",1000.0,0.0
