,reaction,GPR,score
797,ADSS,PADL01_1353600-t36_1-p1,375.6
798,ADSSh,PADL01_1353600-t36_1-p1,375.6
803,AFAT,(PADL01_1013400-t36_1-p1 or PADL01_1358100-t36_1-p1),96.3
845,AGMT,PADL01_0905600-t36_1-p1,153.7
850,AGPAT120,PADL01_1444300-t36_1-p1,61.2
851,AGPAT140,PADL01_1444300-t36_1-p1,61.2
852,AGPAT141,PADL01_1444300-t36_1-p1,61.2
853,AGPAT160,PADL01_1444300-t36_1-p1,61.2
854,AGPAT1601819Zh,PADL01_1444300-t36_1-p1,34.85
856,AGPAT160h,PADL01_1444300-t36_1-p1,34.85
857,AGPAT161,PADL01_1444300-t36_1-p1,61.2
858,AGPAT180,PADL01_1444300-t36_1-p1,61.2
859,AGPAT1801819Zh,PADL01_1444300-t36_1-p1,34.85
860,AGPAT181,PADL01_1444300-t36_1-p1,61.2
861,AGPAT18111Z160h,PADL01_1444300-t36_1-p1,34.85
862,AGPAT18111Z1819Zh,PADL01_1444300-t36_1-p1,34.85
863,AGPAT1819Z160h,PADL01_1444300-t36_1-p1,34.85
864,AGPAT1819Z1619Zh,PADL01_1444300-t36_1-p1,34.85
865,AGPAT1819Z18111Zh,PADL01_1444300-t36_1-p1,34.85
866,AGPAT1819Z1819Zh,PADL01_1444300-t36_1-p1,34.85
896,AGPATCOA16018111Z,PADL01_1444300-t36_1-p1,69.7
897,AGPATCOA1601819Z,PADL01_1444300-t36_1-p1,69.7
898,AGPATCOA1801819Z,PADL01_1444300-t36_1-p1,69.7
899,AGPATCOA18111Z160,PADL01_1444300-t36_1-p1,69.7
900,AGPATCOA18111Z18111Z,PADL01_1444300-t36_1-p1,69.7
901,AGPATCOA18111Z1819Z,PADL01_1444300-t36_1-p1,69.7
902,AGPATCOA1819Z160,PADL01_1444300-t36_1-p1,69.7
903,AGPATCOA1819Z18111Z,PADL01_1444300-t36_1-p1,69.7
904,AGPATCOA1819Z1819Z,PADL01_1444300-t36_1-p1,69.7
906,AGPOP,PADL01_0625000-t36_1-p1,465.7
907,AGPOPm,PADL01_0625000-t36_1-p1,465.7
917,AHAL,PADL01_1457200-t36_1-p1,35.6
920,AHCi,PADL01_0519900-t36_1-p1,592.0
944,AKGCITtm,PADL01_0823100-t36_1-p1,253.1
945,AKGDH,((PADL01_0815100-t36_1-p1 and PADL01_0819900-t36_1-p1 and PADL01_1319700-t36_1-p1) or (PADL01_0815100-t36_1-p1 and PADL01_0819900-t36_1-p1) or (PADL01_0815100-t36_1-p1 and PADL01_1319700-t36_1-p1) or (PADL01_0819900-t36_1-p1 and PADL01_1232900-t36_1-p1 and PADL01_1319700-t36_1-p1) or (PADL01_0819900-t36_1-p1 and PADL01_1232900-t36_1-p1) or (PADL01_0819900-t36_1-p1 and PADL01_1319700-t36_1-p1) or (PADL01_1232900-t36_1-p1 and PADL01_1319700-t36_1-p1) or PADL01_0815100-t36_1-p1 or PADL01_0819900-t36_1-p1 or PADL01_1232900-t36_1-p1 or PADL01_1319700-t36_1-p1),388.3
946,AKGDHe2r,PADL01_1319700-t36_1-p1,283.1
948,AKGDam,((PADL01_0819900-t36_1-p1 and PADL01_1232900-t36_1-p1 and PADL01_1319700-t36_1-p1) or PADL01_0819900-t36_1-p1),730.3
949,AKGDb,(PADL01_1019200-t36_1-p1 or PADL01_1319700-t36_1-p1),267.7
950,AKGDbm,(PADL01_0819900-t36_1-p1 and PADL01_1232900-t36_1-p1 and PADL01_1319700-t36_1-p1),470.2
952,AKGICITtm,PADL01_0823100-t36_1-p1,253.1
955,AKGMALtm,PADL01_0823100-t36_1-p1,253.1
986,ALASm,PADL01_1246300-t36_1-p1,276.6
988,ALATA_D2,PADL01_1236200-t36_1-p1,303.1
990,ALATA_L2,PADL01_1236200-t36_1-p1,303.1
993,ALATL,PADL01_1366600-t36_1-p1,565.5
994,ALATRS,PADL01_1366600-t36_1-p1,582.4
1097,ALPHNH,PADL01_0415300-t36_1-p1,105.1
1098,ALPHm,PADL01_0415300-t36_1-p1,105.1
1100,ALR2,(PADL01_1363500-t36_1-p1 or PADL01_1408700-t36_1-p1),70.9
1107,AM6PTh,PADL01_0622100-t36_1-p1,137.9
1124,AMID,PADL01_0415300-t36_1-p1,124.0
1125,AMID2,PADL01_0415300-t36_1-p1,81.3
1126,AMID3,PADL01_0415300-t36_1-p1,81.3
1127,AMID4,PADL01_0415300-t36_1-p1,73.9
1129,AMID_1,PADL01_0415300-t36_1-p1,67.0
1130,AMITKP,PADL01_1315000-t36_1-p1,60.5
1131,AMITKPn,PADL01_1315000-t36_1-p1,60.5
1132,AMITP,PADL01_1315000-t36_1-p1,60.5
1133,AMMQLT8,PADL01_0203700-t36_1-p1,156.0
1137,AMMQT8_2,PADL01_0203700-t36_1-p1,156.0
1138,AMO,PADL01_0801300-t36_1-p1,47.4
1139,AMPDA,PADL01_1328400-t36_1-p1,510.4
1142,AMPN,PADL01_1328400-t36_1-p1,510.4
1143,AMPTASECG,(PADL01_0724900-t36_1-p1 or PADL01_1310700-t36_1-p1 or PADL01_1446200-t36_1-p1),525.0
1145,AMPTASEPG,(PADL01_1310700-t36_1-p1 or PADL01_1446200-t36_1-p1),525.0
1164,AOBUTDs,spontaneous,0.0
1166,AOXSr,(PADL01_1246300-t36_1-p1 or PADL01_1415400-t36_1-p1),214.2
