,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
CAATPS_1,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
AMPMS,,,not in model,not in model,not in model,,,,,,,,,
G3PDm_pf,,,not in model,nonlethal,nonlethal,,,,,,,,,
FRTT,,,not in model,nonlethal,nonlethal,,,,,,,,,
AMETtm,,,not in model,nonlethal,nonlethal,,,,,,,,,
GLXCL,,,not in model,not in model,not in model,,,,,,,,,
PEDS1801829Z12Z,,,not in model,not in model,not in model,,,,,,,,,
CHOLtu,,,not in model,nonlethal,nonlethal,,,,,,,,,
PLDAGAT16018111Z1819Z4,,,not in model,not in model,not in model,,,,,,,,,
PUNP8,,,not in model,not in model,not in model,,,,,,,,,
QULNS_1,,,not in model,nonlethal,nonlethal,,,,,,,,,
EX_pa181_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
T2DECAI,,,nonlethal,nonlethal,not in model,,,,,,,,,
EX_arbt_e,,,not in model,not in model,not in model,,,,,,,,,
VALLEUPHEt,,,not in model,not in model,not in model,,,,,,,,,
MGDGW3DS1839Z12Z15Z1637Z10Z13Z2c,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LIPPT_m,,,not in model,not in model,not in model,,,,,,,,,
AASPm,,,not in model,not in model,not in model,,,,,,,,,
TAGAH18111Z1819Z1845Z9Z12Z15Z,,,not in model,not in model,not in model,,,,,,,,,
EX_4abut_e,,,not in model,nonlethal,not in model,,,,,,,,,
DHCRD2,,,not in model,nonlethal,not in model,,,,,,,,,
EX_mal__L_e,,,nonlethal,nonlethal,not in model,,,,,,,,,
LIPACabcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PREPTHS,,,not in model,not in model,not in model,,,,,,,,,
PAPt,,,not in model,nonlethal,nonlethal,,,,,,,,,
DAGK141,,,not in model,nonlethal,nonlethal,,,,,,,,,
GLYBabc,,,not in model,nonlethal,nonlethal,,,,,,,,,
MAGAH18111Z,,,not in model,not in model,not in model,,,,,,,,,
MTHFO_nadp,,,not in model,not in model,not in model,,,,,,,,,
FLDR2,,,not in model,not in model,not in model,,,,,,,,,
