,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
GGNG,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
PLA2PE_STC_OLE_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
ETHAPT18111Z1819Z,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_5fthf_e,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DESAT14,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
MCOATA_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
3OAS160,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
EAR80y,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,lethal,not in model,,not in model,nonlethal,not in model,lethal
SUCHMSSELCYSL,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
GLYCL_2,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
AMPPT1,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EAR180x_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_glcur_e,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
LEULEULAPc,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PPTT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PLDAGAT_HDE_PALM_LNA_PE_11_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_gsn_e,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PS181abcppc,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
UGLT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PRFGS_1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_trpiletrp_e,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
METTRPPHEt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
NTP10,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FADFMNtm,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
4HGLSDm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
BTS,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,not in model,lethal,not in model,lethal
DAGK_OLE_PALM,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,not in model
LPLIPAL1G180,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DHFOR,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
DOLASNTc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,lethal
G12MT2gc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
A3GALT1c,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_malt_e,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
FRD3,not in model,not in model,not in model,not in model,not in model,,,not in model,nonlethal,,nonlethal,not in model,not in model,nonlethal
ECOAH9ir,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
DOLK,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
CAt7r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
r2526,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
LCARS,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,lethal
LPEAT_HDE_ALNA_sn2_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SUCFUMtm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
EX_2agpg180_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DASYN160,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
MI4PP,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
NTRIRy,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CEPTEnhs,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PLDAGAT16018111Z1601,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
LEUTRS,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
N2OR,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,lethal
TRPAS2,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
EX_tyrtyr_e,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
G3PIt,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
ASPSEc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
DAGK1819Z1819Z,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,lethal,not in model,not in model,not in model
PLDAGAT1801819Z1819Z2,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
SARCOX,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ARABDI,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
CHOLD,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
CYO1b2_sync,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,lethal,lethal
GLUNm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
SQD2_182_9_12,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
ANXANORc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
PROt4_2_r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
POR5,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,nonlethal,not in model,not in model
ARTFR52_cho,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HCO3_2NAt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
MOD_3mhtpp,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
FFSD,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,not in model,not in model,not in model
VALTRSm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
FBP,nonlethal,nonlethal,not in model,not in model,not in model,,,lethal,nonlethal,,nonlethal,nonlethal,not in model,nonlethal
TAGAH1819Z1819Z1819Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
NDPK4,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EX_2agpg160_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PLDPC_MYRS_GLNA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACOAR2mc,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,lethal
NTP6,not in model,not in model,not in model,lethal,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
HMR_1630,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
GLXO3r,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,not in model,not in model,not in model
BZSCD,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
PPCSCT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
MACACI,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
METSR_S2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
GLUS_F420,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
ACTNabc1,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
3HBCOAHL,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
BC10_new,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
SO3abcppc,lethal,lethal,lethal,not in model,lethal,,,not in model,lethal,,not in model,lethal,not in model,lethal
DHNANT,not in model,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARBt2r,not in model,not in model,lethal,lethal,lethal,,,lethal,not in model,,lethal,lethal,not in model,not in model
ACACT2c,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,lethal
LPP_SC,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,not in model
RNTR1,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
FE2GTPabc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PSD160,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,nonlethal
RNTR1c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
AACOAR_syn,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,lethal
TAURabc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ACOAO4pc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
EX_butso3_e,lethal,lethal,not in model,lethal,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
FBP26,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,lethal
EX_pro__L_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,not in model,lethal,not in model,lethal
HISD_c,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,lethal,not in model
BSCT,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
SBTRhc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PLDAGAT18111Z18111Z1819Z1,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
CTPS2,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
CHLDA1tuc,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
PLDAGAT_PALM_PALM_LNA_PE_11_c,not in model,not in model,lethal,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
FKYNH,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,lethal
NAabcO,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
CYSLYSL,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,not in model
FA160ACPHi,lethal,lethal,not in model,not in model,not in model,,,lethal,not in model,,not in model,nonlethal,not in model,not in model
CCP2mc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,lethal
NAt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
GALURt2r,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
FASC182ACP,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
ACOATAm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
FACOAL161_ISO,lethal,lethal,lethal,lethal,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
DASYN181_9,lethal,lethal,lethal,not in model,nonlethal,,,not in model,lethal,,not in model,lethal,not in model,not in model
EX_hxa_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
FAS160COA,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PEPAT,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
ASPCT,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
PROAKGOX1,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_g3pc_e,lethal,lethal,not in model,lethal,not in model,,,lethal,lethal,,lethal,lethal,not in model,not in model
CO2tmt,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
PSIIbluec,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PDHa,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
TRDRm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,not in model,lethal,not in model,not in model
NITR_NOc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
HEMELhc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
ATPATF3,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
G12MT4,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
r0817,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
FGFTm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
C8STI,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,lethal
BDMT,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
UPPDC2,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
INSTabc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
ECA4COLIPAabctexc,lethal,lethal,lethal,not in model,lethal,,,lethal,lethal,,lethal,lethal,not in model,lethal
CBPSac,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PHETRSm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
1AGPEAT1801845Z9Z12Z15Z,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,lethal,not in model,not in model,not in model
GGCHLDBRc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PCMEH2ppc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PSSA180,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
VALLEUPHEt,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,lethal,not in model
GDMANE,lethal,lethal,not in model,not in model,nonlethal,,,not in model,not in model,,lethal,nonlethal,not in model,nonlethal
ACACT2r,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,nonlethal,,nonlethal,nonlethal,nonlethal,nonlethal
NTD3,lethal,lethal,lethal,lethal,lethal,,,lethal,not in model,,not in model,lethal,lethal,lethal
CYSTL,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ACOADAGAT1601819Z1845Z9Z12Z15Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
IMPC,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
FRD2,not in model,not in model,lethal,not in model,not in model,,,not in model,nonlethal,,nonlethal,not in model,not in model,nonlethal
MANA3,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
TAGAH18111Z1819Z1845Z9Z12Z15Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
3HAD121_m,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
AKGMALtm,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
VPAMTr,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,not in model
TYRt2m,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
FA120ACPHi,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PGW3DS1839Z12Z15Z160c,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
ALCD25xim,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,lethal,not in model,not in model
CERS226,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_glyc2p_e,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
SULAabc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DASYN_HP,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
RTOT4_cho,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ATP2t_m,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
DOGULNR,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
ECOAR,not in model,not in model,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
STACHGALACT,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
C22STDSx,lethal,lethal,not in model,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
EX_arg__L_e,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
HACD7i,not in model,not in model,not in model,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,lethal
FECRMabcppc,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,lethal,lethal
ALATL,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
EX_hdcoa_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
GLYCDx,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
EX_2agpe141_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
TMN,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
ECH_3hivcoac,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
AGPAT4nhs,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
C141SN,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,lethal,not in model,not in model,not in model
ACOTA,nonlethal,nonlethal,nonlethal,nonlethal,nonlethal,,,not in model,not in model,,not in model,nonlethal,not in model,nonlethal
GALabc,not in model,not in model,lethal,not in model,lethal,,,not in model,not in model,,lethal,not in model,not in model,lethal
VALVALr,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_succ_e,lethal,lethal,lethal,lethal,not in model,,,lethal,not in model,,not in model,lethal,not in model,lethal
CITACt,not in model,not in model,lethal,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
XYLK,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,not in model,lethal,not in model,lethal
TAGAH16018111Z1845Z9Z12Z15Z,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
RNDR3,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
ATDGDm,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
CYSDSF,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
2agpe181t,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
LPLIPAL1E120,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
DROPPRy,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
THRTRS,lethal,lethal,lethal,lethal,lethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
TPK1,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,lethal,not in model,lethal
ARGARGLYSr,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
ADMDC,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,not in model,lethal,not in model,lethal
FASC160ACP,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
NACODA,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,not in model,not in model,not in model
FEROc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
AMETtm,not in model,not in model,not in model,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
3OAS120_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SO4HCOtex,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
THZPSNm,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ARD1,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
FOLD3,not in model,not in model,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
ALDD31,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
EX_fadh2_c,lethal,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
UTCY,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ALCD2ir,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,lethal,lethal,not in model,lethal
IPDPS,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,lethal,not in model
FTHFLmi,lethal,lethal,not in model,not in model,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
GLUKA,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,lethal,not in model
PSD_HP,lethal,lethal,lethal,lethal,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
PAIL1819Z160t,lethal,lethal,lethal,lethal,nonlethal,,,lethal,lethal,,lethal,lethal,lethal,lethal
EAR80_m,lethal,lethal,lethal,lethal,lethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
SUCD1m,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
EX_malttr_e,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
LPCAT_LNA_ALNA_sn2_c,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
PAPA_OLE_HDE,not in model,not in model,not in model,not in model,not in model,,,lethal,not in model,,not in model,not in model,not in model,not in model
GSPMDA,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,not in model,not in model,not in model
ALOX15,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
3OAR140_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SLCBK2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
SALCHS2FEabcppc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
EX_hghhlipa_e,lethal,lethal,lethal,lethal,lethal,,,not in model,lethal,,lethal,lethal,lethal,lethal
IG3PS,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,nonlethal,not in model,not in model
SAM24MT,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
DUTCP,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
ACOADAGAT1601819Z1819Z,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
AACPS5_1c,lethal,lethal,lethal,not in model,not in model,,,lethal,lethal,,lethal,lethal,lethal,lethal
ETHAPT_EPA_EPA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
RBFSb_1,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
SERabc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,lethal
SHSL3,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,not in model,lethal,not in model,not in model
ACOAR2m,not in model,not in model,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ACCC,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,lethal
DCTCP,lethal,lethal,not in model,not in model,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
14GLUCANabcppc,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DEDOLP1,not in model,not in model,lethal,not in model,not in model,,,not in model,not in model,,not in model,not in model,not in model,not in model
HMBS_ap,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
TYRPHETYRt,not in model,not in model,lethal,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
1AGPEAT1801835Z9Z12Z,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,lethal,not in model,not in model,not in model
