,TgondiiGT1,TgondiiME49,Pfalciparum3D7,PbergheiANKA,PvivaxSal1,ChominisTU502_2012,CparvumIowaII,EhistolyticaHM1IMSS-A,LmajorSD75,TcruziCLBrener,TbruceiLister427,VbrassicaformisCCMP3155,BbovisT2Bo,gf_no_ortho_NfowleriATCC30863
DGTSDS1829Z12Z1819Z,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,lethal
ACOAD8m,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
A2GALT5c,lethal,lethal,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
AP4AH1,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
EX_pail_e,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
PSIbluec,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
PPPGO4,not in model,not in model,not in model,not in model,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
DAGK_EPA_ALNA_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
DOLPMMerc,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
PC,lethal,lethal,not in model,lethal,not in model,,,lethal,lethal,,lethal,lethal,not in model,lethal
MALICITtm,lethal,lethal,lethal,lethal,nonlethal,,,not in model,not in model,,not in model,lethal,not in model,not in model
ACPPAT140,lethal,lethal,lethal,lethal,nonlethal,,,not in model,lethal,,lethal,lethal,not in model,not in model
ACN_b_m,not in model,not in model,not in model,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
AASAD2,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,lethal
NTD2,lethal,lethal,lethal,lethal,nonlethal,,,lethal,not in model,,not in model,nonlethal,lethal,nonlethal
DHFtm,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
THRA,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,lethal,not in model,not in model
THEXDDm,not in model,not in model,not in model,not in model,not in model,,,not in model,lethal,,not in model,not in model,not in model,not in model
C3STKR1c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
CERS324,lethal,lethal,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,lethal,lethal
pe_prod12,not in model,not in model,lethal,lethal,lethal,,,not in model,not in model,,not in model,not in model,not in model,not in model
ASNS2,not in model,not in model,not in model,not in model,not in model,,,lethal,lethal,,lethal,not in model,not in model,not in model
EX_sulfac_e,not in model,not in model,not in model,lethal,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
BSORy,lethal,lethal,not in model,not in model,not in model,,,not in model,lethal,,lethal,lethal,not in model,not in model
ETHAPT_OLE_STC_c,not in model,not in model,not in model,not in model,not in model,,,not in model,not in model,,not in model,lethal,not in model,not in model
