,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
BADP,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
KAS11,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DAGK1819Z1819Z,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
RNDR2b,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
2AGPEAT161,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PE_CHOtm,not in model,not in model,not in model,,nonlethal,,,,not in model,not in model,
PROtm_1,nonlethal,nonlethal,not in model,,not in model,,,,not in model,not in model,
G13MT,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PGPP_hsnhs,not in model,not in model,not in model,,nonlethal,,,,not in model,not in model,
STARCH300DEGR2Bc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DAGK1601819Z,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
