,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
TKT2hc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
AACPS6_1c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NO2R,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GHBDHx,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FE2tm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PE1819Z1819Zt,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
2AGPGAT120,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NDPK6,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ECOAH12m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ECOAH11pc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NDPK4,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYOX_1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLNSP1,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MECDPS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
1AGPEAT1801829Z12Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FASm2202,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
S4FE4SR,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
AKGDbm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PGLc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
HACD4m,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
