,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
pg140_e,produced,produced,produced,produced,produced,neither,produced
2mcit_m,produced,produced,not present in model,produced,produced,not present in model,produced
2dmmq8_c,neither,neither,neither,neither,neither,neither,neither
mqn7_c,neither,produced,produced,neither,neither,neither,not present in model
dtdpglu_c,not present in model,not present in model,neither,produced,produced,produced,produced
trnaasn_c,neither,neither,neither,neither,neither,neither,neither
pgp180_e,neither,neither,neither,produced,produced,neither,produced
56dh5flura_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
taur_e,neither,neither,neither,neither,neither,neither,neither
uacgam_c,produced,produced,produced,produced,produced,produced,produced
ps141_e,produced,produced,not present in model,neither,neither,neither,neither
4hproaragal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
gmp_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
dadp_m,produced,produced,not present in model,produced,produced,not present in model,produced
m3macchitppdol_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
hmpscoa_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
3odcoa_c,produced,produced,not present in model,produced,produced,produced,produced
ascb__L_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
methf_m,produced,produced,not present in model,produced,produced,not present in model,produced
4mhetz_c,produced,produced,produced,produced,produced,not present in model,produced
3hbutACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tre_e,not present in model,not present in model,neither,not present in model,not present in model,produced,not present in model
sucsal_c,produced,produced,neither,neither,neither,not present in model,neither
tpalm2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
ibcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
moadcoo_c,neither,neither,neither,neither,neither,neither,neither
glyc1p_c,neither,neither,not present in model,not present in model,not present in model,not present in model,neither
xyl4_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
dhcinnm_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
gal_e,neither,neither,produced,produced,produced,neither,produced
pg1839Z12Z15Z1613E_c,produced,produced,not present in model,produced,produced,not present in model,produced
maltpt_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
sufbcd_c,produced,produced,not present in model,produced,produced,not present in model,produced
spmd_e,produced,produced,neither,neither,neither,neither,neither
iamoh_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3ohdcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pg161_c,produced,produced,produced,produced,produced,neither,produced
4abut_c,neither,neither,produced,produced,produced,not present in model,not present in model
dna5mtc_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
maltttr_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
cpmp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tag16018111Z1819Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
ser__L_m,neither,neither,not present in model,produced,produced,not present in model,produced
26dapime_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
4hbald_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pe1819Z1819Z_e,produced,produced,produced,produced,produced,produced,produced
hx2coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
malt_e,not present in model,not present in model,produced,not present in model,produced,not present in model,produced
tglp_c,produced,produced,produced,produced,produced,produced,produced
phom_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
oxa_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
tag18111Z1819Z180_c,not present in model,not present in model,neither,produced,produced,produced,produced
fru_c,neither,neither,produced,produced,produced,not present in model,produced
dhor__S_m,produced,produced,not present in model,produced,produced,not present in model,produced
cdpdtdecg_c,produced,produced,produced,produced,produced,not present in model,produced
adprib_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
cit_e,produced,produced,neither,produced,not present in model,produced,not present in model
urea_c,produced,produced,produced,neither,neither,neither,neither
pail1819Z160_c,neither,neither,neither,produced,produced,produced,neither
ans_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pcox_c,neither,produced,not present in model,neither,neither,not present in model,neither
3hpalmACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
isetac_e,not present in model,not present in model,neither,neither,neither,neither,neither
tyr__L_e,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
bamppald_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
3hodcoa_c,neither,neither,not present in model,produced,produced,not present in model,produced
pe1801819Z_e,produced,produced,produced,produced,produced,produced,produced
12dgr_SC_c,produced,produced,produced,produced,produced,produced,produced
2h3oppan_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
focytb5_c,produced,produced,not present in model,produced,produced,not present in model,produced
acolipa_e,neither,neither,neither,neither,neither,neither,neither
acybut_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
fer_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
caro_c,neither,neither,not present in model,neither,neither,not present in model,neither
1agpe1819Z_c,produced,produced,neither,produced,neither,neither,neither
maltpttre_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
tsul_e,produced,produced,neither,produced,produced,neither,produced
pgp181_e,neither,neither,neither,produced,produced,neither,produced
xylt_c,not present in model,not present in model,neither,not present in model,not present in model,produced,not present in model
sqdg1819Z160_c,neither,neither,not present in model,neither,neither,not present in model,neither
tyr__L_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
lnlc_c,produced,produced,neither,produced,neither,produced,neither
3oddcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3dhguln_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
dcdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
forcoa_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
4fe4s_c,produced,produced,produced,produced,produced,produced,produced
g6p_c,produced,produced,produced,produced,produced,produced,produced
thf_m,produced,produced,not present in model,produced,produced,not present in model,produced
3ooctdACP_c,produced,produced,produced,produced,produced,not present in model,produced
hco3_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
dudp_m,produced,produced,not present in model,produced,produced,not present in model,produced
chlstol_c,produced,produced,not present in model,produced,produced,not present in model,produced
tamhexc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
gly_c,produced,produced,produced,produced,produced,produced,produced
3mhtpp_m,produced,produced,not present in model,produced,produced,not present in model,produced
uLa4fn_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
lcts_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
ocdcea_e,produced,produced,produced,produced,produced,produced,produced
ddcaACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
tddec2eACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
pa16018111Z_c,produced,produced,produced,produced,produced,not present in model,produced
trnagly_m,neither,neither,not present in model,neither,neither,not present in model,neither
iletrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
urdglyc_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
cgly_c,neither,neither,neither,neither,neither,produced,neither
cbp_m,produced,produced,not present in model,produced,produced,not present in model,produced
anhgm4p_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
2mbcoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
ethso3_e,not present in model,not present in model,not present in model,not present in model,not present in model,neither,neither
photon490_c,neither,neither,not present in model,neither,neither,not present in model,neither
gmp_c,produced,produced,produced,produced,produced,neither,produced
cellb_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
seln_c,produced,produced,produced,produced,produced,produced,produced
sphgn_c,produced,produced,neither,produced,produced,not present in model,neither
udparab_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ddcap_c,produced,produced,not present in model,produced,produced,not present in model,produced
doldpglcnacglcnacman_man_manmanman_c,produced,produced,not present in model,produced,produced,not present in model,produced
mmtsa_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
cyst__L_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
hphhlipaB_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
itp_m,produced,produced,not present in model,produced,produced,not present in model,produced
arg__L_c,neither,neither,neither,neither,neither,neither,neither
pa160_c,produced,produced,produced,produced,produced,produced,produced
dcamp_c,produced,produced,not present in model,produced,produced,not present in model,produced
3hbcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
sbzcoa_c,produced,produced,produced,produced,produced,not present in model,produced
2mbdhl_c,produced,produced,not present in model,produced,produced,produced,produced
itacon_m,neither,neither,not present in model,neither,neither,not present in model,neither
paps_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
4gudbutn_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
3ooctACP_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
asnglcnacglcnacman_man_manman_manman_manmanmanglcglcglc_c,produced,produced,produced,produced,produced,not present in model,produced
pa183_9_12_15_c,neither,neither,not present in model,neither,neither,not present in model,neither
12dgr18111Z160_c,not present in model,not present in model,produced,neither,neither,produced,neither
mgdg1819Z1644Z7Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
1Dgali_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
5dpmev_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
hemeO_c,produced,produced,not present in model,not present in model,not present in model,neither,not present in model
btal_c,not present in model,not present in model,produced,neither,neither,not present in model,not present in model
tag18111Z1819Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
cdpdtdec7eg_c,produced,produced,produced,produced,produced,not present in model,produced
hdcea_m,produced,produced,not present in model,produced,produced,not present in model,produced
gam_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
iscu_2fe2s2_c,produced,produced,produced,produced,produced,produced,produced
amp_e,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
metox_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
fdp_B_c,produced,produced,produced,neither,neither,neither,neither
acald_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
prephthcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
amp_m,produced,produced,not present in model,produced,produced,not present in model,produced
crn_c,produced,produced,neither,neither,neither,not present in model,neither
asptrna_c,produced,produced,produced,produced,produced,produced,produced
3hhcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
fdxox_m,produced,produced,not present in model,produced,produced,not present in model,produced
retinal_11_cis_c,neither,neither,not present in model,neither,neither,not present in model,neither
2omph_c,produced,produced,not present in model,produced,produced,not present in model,produced
mobd_e,neither,neither,neither,neither,neither,neither,neither
23doguln_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pi_c,produced,produced,produced,produced,produced,produced,produced
5aprbu_c,produced,produced,produced,produced,produced,produced,produced
pap_c,produced,produced,produced,produced,produced,produced,produced
fa10coa_c,produced,produced,produced,produced,produced,produced,produced
3ophb_5_m,produced,produced,not present in model,produced,produced,not present in model,produced
bathorhodopsin_c,produced,produced,not present in model,produced,produced,not present in model,produced
rdxo_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
iletrna_c,produced,produced,produced,produced,produced,produced,produced
cdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
lpam_m,produced,produced,not present in model,produced,produced,not present in model,produced
oaa_m,produced,produced,not present in model,produced,produced,not present in model,produced
gsn_c,produced,produced,produced,produced,produced,neither,produced
pg1829Z12Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
pa181_e,produced,produced,neither,produced,produced,produced,produced
asntrna_c,produced,produced,produced,produced,produced,produced,produced
trdox_m,produced,produced,not present in model,produced,produced,not present in model,produced
octa_e,produced,produced,produced,produced,produced,neither,produced
4abz_c,produced,produced,not present in model,neither,neither,neither,neither
LptA_e,neither,neither,neither,neither,neither,neither,neither
dcaACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
pail18111Z160_c,neither,neither,neither,produced,produced,produced,neither
sertrna_sec_m,produced,produced,not present in model,produced,produced,not present in model,produced
3hxccoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dtmp_c,produced,produced,produced,produced,produced,produced,produced
fmn_c,produced,produced,produced,produced,produced,neither,produced
34dhbz_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
cholp_c,produced,produced,produced,neither,neither,neither,neither
tag1819Z18111Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
murein3p3p_e,not present in model,not present in model,not present in model,neither,neither,neither,not present in model
ura_c,produced,produced,produced,produced,produced,produced,neither
nal2a6o_c,neither,neither,neither,not present in model,not present in model,not present in model,not present in model
gmhep7p_c,neither,neither,neither,neither,neither,neither,neither
tchola_e,neither,neither,neither,neither,neither,not present in model,neither
h2_m,produced,produced,not present in model,produced,produced,not present in model,produced
2hp6mbq_m,produced,produced,not present in model,produced,produced,not present in model,produced
tag18111Z1819Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
e4p_c,neither,neither,neither,produced,produced,neither,produced
dtdp4d6dg_c,not present in model,not present in model,produced,not present in model,produced,not present in model,not present in model
6pgg_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
aacoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
fe2_c,produced,produced,neither,produced,produced,neither,produced
Ssq23epx_c,produced,produced,not present in model,produced,produced,not present in model,produced
trnaala_m,neither,neither,not present in model,neither,neither,not present in model,neither
occoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
ficytcc_c,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
3ohcoa_c,produced,produced,not present in model,produced,produced,produced,produced
pglyp_BS_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
protrna_c,produced,produced,produced,produced,produced,produced,produced
zn2_c,neither,neither,neither,neither,neither,neither,neither
h_e,produced,produced,produced,produced,produced,produced,produced
frulys_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
psph1p_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
dhlpro_c,produced,produced,neither,produced,produced,not present in model,produced
pa141_e,produced,produced,neither,produced,produced,produced,neither
oc2coa_m,produced,produced,not present in model,produced,produced,not present in model,produced
xmp_m,produced,produced,not present in model,produced,produced,not present in model,produced
dgdg1829Z12Z1634Z7Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
e4hglu_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
ps120_c,produced,produced,not present in model,neither,neither,neither,neither
retpalm_11_cis_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
2dmmq7_c,not present in model,not present in model,not present in model,neither,not present in model,not present in model,not present in model
23dhba_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
ocdcal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
spmd_m,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
3hmp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
ap4a_c,produced,produced,produced,produced,produced,produced,produced
acmana_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
colipa_c,neither,neither,neither,neither,neither,neither,neither
nonal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
pg141_c,produced,produced,produced,produced,produced,neither,produced
pg1819Z160_c,neither,neither,neither,neither,neither,neither,neither
glytrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
pa18111Z160_c,produced,produced,produced,produced,produced,neither,produced
cellb_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
mercppyr_c,neither,neither,not present in model,produced,produced,not present in model,produced
so3_c,produced,produced,produced,produced,produced,produced,produced
mgdg1829Z12Z1627Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
2kmb_c,neither,neither,not present in model,neither,neither,not present in model,neither
all6p_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
cytc_m,produced,produced,not present in model,produced,produced,not present in model,produced
3ohodcoa_c,neither,neither,produced,neither,neither,neither,produced
decdp_tb_c,not present in model,not present in model,not present in model,not present in model,neither,not present in model,neither
chor_c,produced,produced,not present in model,produced,produced,not present in model,produced
arab__L_e,neither,neither,neither,not present in model,not present in model,neither,neither
cmp_m,produced,produced,not present in model,produced,produced,not present in model,produced
fmet_c,neither,neither,not present in model,neither,neither,not present in model,not present in model
pa160190_c,produced,produced,not present in model,not present in model,not present in model,not present in model,produced
tcynt_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
hmccm_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
NPmehis_c,produced,produced,produced,produced,produced,not present in model,produced
trdrd_c,produced,produced,produced,produced,produced,produced,produced
34dhmald_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
malttrtre_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
4hba_c,produced,produced,produced,produced,produced,produced,produced
tag1601819Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
hexccoa_c,neither,neither,not present in model,neither,neither,not present in model,neither
colipap_c,neither,neither,neither,neither,neither,neither,neither
fldrd_c,produced,produced,produced,not present in model,not present in model,not present in model,not present in model
ohpb_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
ggicolipaAR1_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
trnahis_c,neither,neither,neither,neither,neither,neither,neither
5mta_c,produced,produced,neither,not present in model,not present in model,not present in model,neither
clpn180_c,produced,produced,not present in model,produced,produced,not present in model,produced
acolipa_c,neither,neither,neither,neither,neither,neither,neither
2dmmql8_c,produced,produced,produced,produced,produced,produced,neither
msa_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
f6p_c,produced,produced,produced,produced,produced,produced,produced
r5p_c,produced,produced,produced,produced,produced,produced,produced
tag1819Z1819Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
4ppcys_c,produced,produced,produced,produced,produced,not present in model,produced
achms_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
hdca_e,produced,produced,produced,produced,produced,produced,produced
dgdg1839Z12Z15Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
2phetoh_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
ctbt_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
doldpglcnacglcnacmanman_c,produced,produced,not present in model,produced,produced,not present in model,produced
ps120_e,produced,produced,not present in model,neither,neither,neither,neither
tag1819Z18111Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
ddcal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
his__L_e,not present in model,not present in model,produced,not present in model,neither,neither,neither
meroacidcyc2AMP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
marach_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pa_SC_c,neither,neither,produced,neither,neither,produced,neither
ocdcya_c,neither,neither,produced,neither,neither,produced,neither
mgdg1829Z12Z160_c,produced,produced,not present in model,produced,produced,not present in model,produced
5fthf_m,produced,produced,not present in model,produced,produced,not present in model,produced
actp_c,neither,neither,produced,neither,neither,not present in model,not present in model
4adcho_c,produced,produced,not present in model,produced,produced,not present in model,produced
his__L_c,neither,neither,produced,neither,neither,neither,neither
pe18111Z1819Z_c,produced,produced,produced,produced,produced,produced,produced
3hdecACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
fa20n_c,produced,produced,not present in model,produced,produced,not present in model,produced
xan_c,neither,neither,produced,neither,neither,produced,neither
cytd_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
t3c5ddeceACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
ficytC_m,not present in model,produced,not present in model,not present in model,not present in model,not present in model,not present in model
manglyc_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pe18111Z1845Z9Z12Z15Z_c,produced,produced,produced,produced,produced,neither,produced
dgdg1829Z12Z1627Z10Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
oaa_c,produced,produced,produced,produced,produced,not present in model,produced
gthox_m,produced,produced,not present in model,produced,produced,not present in model,produced
dcmp_c,neither,neither,neither,neither,neither,neither,neither
4h2oglt_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3hbycoa_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
scys__L_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pe181_c,produced,produced,produced,produced,produced,neither,produced
mmmeroacidcyc1ACP_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
nadp_c,produced,produced,produced,produced,produced,produced,produced
doldpglcnacglcnacman_manman_manmanman_c,neither,neither,not present in model,neither,neither,not present in model,neither
trnamet_m,neither,neither,not present in model,neither,neither,not present in model,neither
3hppnl_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
1msg3p_c,neither,neither,not present in model,not present in model,not present in model,not present in model,neither
mettrna_c,produced,produced,produced,produced,produced,produced,produced
catechol_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pnto__R_c,neither,neither,neither,produced,produced,produced,produced
gln__L_c,produced,produced,produced,produced,produced,neither,produced
frulysp_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
S_gtrdhdlp_c,produced,produced,not present in model,produced,produced,not present in model,produced
pheme_m,produced,produced,not present in model,produced,produced,not present in model,produced
2ohph_5_c,neither,neither,neither,neither,neither,neither,neither
tag1601819Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
pe18111Z1829Z12Z_c,produced,produced,produced,produced,produced,neither,produced
3mb2coa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
pq_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
bglycogen_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
2mcit_c,produced,produced,not present in model,produced,produced,not present in model,produced
4pasp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
4abutn_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
uri_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
pchlda_c,not present in model,not present in model,not present in model,not present in model,neither,not present in model,neither
mgdg1829Z12Z1644Z7Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
lys__L_m,neither,neither,not present in model,produced,produced,not present in model,produced
gcald_c,not present in model,not present in model,neither,neither,neither,produced,not present in model
zymst_e,produced,produced,neither,neither,neither,neither,neither
ps_SC_m,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
seahcys_c,neither,neither,neither,neither,neither,not present in model,neither
mpt_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
5pg35pg_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
clpn160_c,produced,produced,not present in model,produced,produced,not present in model,produced
2ombzl_c,neither,neither,not present in model,neither,neither,not present in model,neither
dpgpi_c,not present in model,not present in model,not present in model,neither,neither,neither,neither
tag16018111Z1845Z9Z12Z15Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
grdp_c,produced,produced,not present in model,produced,produced,produced,produced
q_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
coa_c,produced,produced,produced,produced,produced,produced,produced
malt_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
dccoa_c,not present in model,not present in model,not present in model,neither,neither,neither,neither
f6p_B_c,produced,produced,produced,produced,produced,produced,produced
focytc6_c,not present in model,neither,not present in model,not present in model,not present in model,not present in model,not present in model
1agpc_SC_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3hddcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3ophb_5_c,produced,produced,produced,produced,produced,produced,produced
iscu_4fe4s_c,produced,produced,produced,produced,produced,produced,produced
retinal_c,produced,produced,not present in model,produced,produced,not present in model,produced
kmeroacidACP_c,not present in model,not present in model,not present in model,produced,not present in model,not present in model,not present in model
apoACP_c,neither,neither,not present in model,not present in model,neither,not present in model,neither
hpyr_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
tdeACP_c,produced,produced,produced,produced,produced,neither,produced
damp_m,produced,produced,not present in model,produced,produced,not present in model,produced
co_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
3haACP_c,produced,produced,produced,produced,produced,not present in model,produced
nebari_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
no2_e,produced,produced,produced,produced,produced,not present in model,produced
sufbcd_2fe2s_c,produced,produced,not present in model,produced,produced,not present in model,produced
Ncbmpts_m,not present in model,not present in model,not present in model,neither,not present in model,not present in model,not present in model
26dmani_e,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
10fthf_c,neither,neither,neither,produced,neither,neither,neither
m2macchitppdol_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
cala_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
4ampm_c,produced,produced,produced,not present in model,not present in model,not present in model,not present in model
epist_e,produced,produced,neither,neither,neither,neither,neither
hom__L_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
3hivcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
dctp_m,produced,produced,not present in model,produced,produced,not present in model,produced
cro4_e,neither,neither,not present in model,neither,neither,neither,neither
focytc6_e,not present in model,neither,not present in model,not present in model,not present in model,not present in model,not present in model
2dda7p_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ppa_m,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
doldpglcnacglcnacman_man_manman_c,produced,produced,not present in model,produced,produced,not present in model,produced
skm5p_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
thdp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
so4_e,neither,neither,neither,produced,produced,neither,produced
man_c,neither,neither,neither,produced,produced,not present in model,produced
mi3p__D_c,produced,produced,neither,neither,neither,not present in model,neither
indole_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
10fthf_m,not present in model,not present in model,not present in model,produced,not present in model,not present in model,not present in model
oxag_c,produced,produced,not present in model,produced,produced,not present in model,produced
mnl_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
damp_c,produced,produced,neither,produced,produced,neither,produced
frdp_m,produced,produced,not present in model,produced,produced,not present in model,produced
btoh_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
o2_m,produced,produced,not present in model,produced,produced,not present in model,produced
mi14p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
valtrna_c,produced,produced,produced,produced,produced,produced,produced
glutcoa_c,produced,produced,produced,produced,produced,produced,produced
malcoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
3optcoa_c,produced,produced,not present in model,produced,produced,produced,produced
2mp2coa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
udpLa4n_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
2oph_c,neither,neither,not present in model,neither,neither,not present in model,neither
tag1819Z1819Z1819Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
hdca_c,produced,produced,produced,produced,produced,produced,produced
lipoamp_c,produced,produced,not present in model,produced,produced,not present in model,produced
hghhlipan_c,neither,neither,not present in model,neither,neither,neither,neither
14glucan_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pro__L_m,produced,produced,not present in model,produced,produced,not present in model,produced
dh4mchc_c,not present in model,not present in model,not present in model,produced,produced,not present in model,neither
mkmycolate_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
