,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,iPfal19
T_a_to_c_C00065_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
UTPtm,0.9999999999998569,0.9999999999999981,0.999999999999999,0.999999999999999,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,0.999999999999998,1.0000000000000193,0.9999999999999992,0.9999999999999992,0.9999999999999957,0.9999999999999957,1.0000000000019718,1.0000000000019718,NA,NA,NA,NA,0.9999999999999873,0.9999999999999873,NA,NA,NA,NA,NA,NA,NA,NA
UNK7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999989,0.9999999999999979,0.9999999999999981,1.0,1.0000000000000024,NA,NA,NA
EXC_BOTH_C05746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
EX_pe120_e,0.9999999999998578,0.9999999999999991,0.9999999999999997,0.9999999999999997,0.9999999999999994,0.9999999999999994,0.9999999999999977,0.9999999999999977,1.0,1.0,1.000000000000002,0.9999999999999895,0.9999999999999992,0.9999999999999992,0.9999999999999954,0.9999999999999954,1.0000000000019558,1.0000000000019558,0.9999999999999986,0.9999999999999986,0.9999999999999661,0.9999999999999661,1.0000000000000007,1.0000000000000007,NA,NA,NA,NA,NA,NA,NA,0.9999999999999631
T_c_to_e_G00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_e_C01967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_e_C00399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
LGTHL,0.9999999999998571,0.9999999999999981,0.9972768040972836,0.9972768040972836,0.9999999999999987,0.9999999999999987,0.9999999999999983,0.9999999999999983,1.0000000000000018,1.0000000000000018,-2.3579313877295675e-12,NA,0.999999999999999,0.999999999999999,0.9819219737159983,0.9819219737159983,1.0000000000019773,1.0000000000019773,0.9705785079055924,0.9705785079055924,0.99999999999996,0.99999999999996,0.9530994806186346,0.9530994806186346,0.9999999999999999,0.999999999999999,0.9999999999999978,1.0000000000000016,1.0000000000000013,NA,NA,0.9999999999999614
R01007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
DSAT_stcoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1.8555019115984242e-15,NA,NA,NA
R03940_TGME49_235640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
EXC_BOTH_C01194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R00896_TGME49_248600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R00706_TGME49_311370_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
DRPA,0.9999999999998559,1.0000000000000007,1.0000000000000038,1.0000000000000038,0.9999999999999992,0.9999999999999992,0.9999999999999994,0.9999999999999994,0.9999999999999999,0.9999999999999999,1.0000000000000144,1.0000000000000187,0.9999999999999993,0.9999999999999993,0.9999999999999909,0.9999999999999909,1.0000000000019758,1.0000000000019758,0.9999999999999885,0.9999999999999885,0.9999999999999611,0.9999999999999611,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,NA,NA,NA,0.6491863861154782
EX_ps120_e,0.9999999999998578,0.9999999999999991,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9999999999999977,0.9999999999999977,1.0000000000000004,1.0000000000000004,1.000000000000002,0.9999999999999895,0.9999999999999983,0.9999999999999983,0.9999999999999921,0.9999999999999921,1.0000000000019558,1.0000000000019558,0.9999999999999986,0.9999999999999986,0.9999999999999655,0.9999999999999655,1.0000000000000042,1.0000000000000042,NA,NA,NA,NA,NA,NA,NA,NA
R00236_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
EXC_BOTH_C04079_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
dgl_prod3,0.9999999999998572,0.9999999999999993,0.9999999999999992,0.9999999999999992,0.9999999999999993,0.9999999999999993,0.9999999999999978,0.9999999999999978,0.9999999999999993,0.9999999999999993,0.9999999999999974,1.0000000000000193,0.9999999999999993,0.9999999999999993,0.9999999999999848,0.9999999999999848,1.0000000000019709,1.0000000000019709,1.0000000000000024,1.0000000000000024,0.9999999999999661,0.9999999999999661,1.0000000000000027,1.0000000000000027,NA,NA,NA,NA,NA,NA,NA,0.9999999999999633
GPAM_pf_18_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.934143323604378e-16,0.0,7.652470515493073e-16,0.0,0.0,NA,NA,NA
THMt3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999933395403631
FACOAE180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,-5.172623130781438e-13,-5.172623130781438e-13,0.9999927810248544,0.9999927810248544,NA,NA,NA,NA,NA,NA,NA,NA
R01005_TGME49_216540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R04231_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000002,NA,NA
GLNSP1,0.9999999999998572,0.9999999999999973,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R00191_EXP_7_TGME49_241880_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R06263_TGME49_314730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_e_C02249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
EX_pcrd_e,NA,NA,0.9999999999999997,0.9999999999999997,0.9792702612539653,0.9792702612539653,NA,NA,0.9234585400425225,0.9234585400425225,NA,NA,0.9234585400425231,0.9234585400425231,0.9999999999999954,0.9999999999999954,0.9693877551039445,0.9693877551039445,NA,NA,0.8799999999999705,0.8799999999999705,0.8800000000000014,0.8800000000000014,NA,NA,NA,NA,NA,NA,NA,NA
